N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
138,LS,"65,000","2,100",-3.13%,"5,000","20,930","32,200",14.10,"188,135",16.50,3.94,
139,오뚜기,"568,000","1,000",-0.18%,"5,000","20,857","3,672",16.47,"1,958",19.39,7.93,
140,한화에어로스페이스,"40,300",650,-1.59%,"5,000","20,404","50,630",17.91,"292,780",16.88,4.78,
141,KODEX 단기채권,"102,780",0,0.00%,0,"19,932","19,393",0.00,"65,690",N/A,N/A,
142,HDC현대산업개발,"29,200",150,-0.51%,"5,000","19,245","65,907",10.80,"1,011,785",8.12,8.85,
143,대한유화,"296,000","9,000",-2.95%,"5,000","19,240","6,500",20.81,"123,028",15.12,6.93,
144,현대엘리베이,"45,650",550,+1.22%,"5,000","18,632","40,815",28.21,"340,415",19.28,9.78,
145,KODEX 삼성그룹,"10,050",50,-0.50%,0,"18,361","182,700",0.03,"307,868",N/A,N/A,
146,효성,"86,700","1,000",-1.14%,"5,000","18,269","21,071",9.17,"43,407",-34.62,-2.26,
147,LS ELECTRIC,"59,700","1,300",-2.13%,"5,000","17,910","30,000",14.29,"157,864",21.03,6.15,
148,대웅,"30,600",550,-1.77%,500,"17,791","58,142",4.95,"232,242",18.09,15.10,
149,효성첨단소재,"393,000","4,000",-1.01%,"5,000","17,606","4,480",9.44,"63,624","21,833.30",0.03,
150,KODEX 레버리지,"27,675",85,+0.31%,0,"17,435","63,000",4.16,"24,883,458",N/A,N/A,
151,아이에스동서,"56,400",0,0.00%,500,"17,423","30,893",5.32,"37,604",14.02,10.92,
152,농심,"283,500",500,-0.18%,"5,000","17,244","6,083",16.22,"18,900",11.61,7.50,
153,영원무역,"38,850",300,-0.77%,500,"17,215","44,311",25.51,"90,762",11.66,8.03,
154,코오롱인더,"62,300",500,-0.80%,"5,000","16,808","26,979",17.58,"279,175",9.11,9.70,
155,한국앤컴퍼니,"17,950",0,0.00%,500,"16,697","93,020",8.72,"186,492",9.85,5.08,
156,롯데정밀화학,"61,200",200,-0.33%,"5,000","15,790","25,800",23.46,"214,802",7.94,12.65,
157,종근당,"137,500","1,500",-1.08%,"2,500","15,711","11,426",8.90,"77,731",17.14,17.88,
158,프레스티지바이오파마,"25,800","1,100",-4.09%,0,"15,505","60,096",0.00,"751,993",N/A,N/A,
159,녹십자홀딩스,"32,550","1,200",-3.56%,500,"15,308","47,028",5.29,"298,546",9.43,19.74,
160,한미반도체,"30,700","1,100",+3.72%,200,"15,184","49,460",6.09,"3,196,832",31.81,21.03,
161,신세계인터내셔날,"211,000","5,500",+2.68%,"5,000","15,065","7,140",3.69,"66,305",29.59,8.24,
162,KODEX 200TR,"13,890",5,-0.04%,0,"14,918","107,400",0.02,"165,425",N/A,N/A,
163,한전KPS,"33,050",100,-0.30%,200,"14,872","45,000",10.39,"482,727",17.08,8.23,
164,KODEX MSCI Korea TR,"13,830",30,+0.22%,0,"14,826","107,200",0.00,"276,284",N/A,N/A,
165,부광약품,"22,750",400,-1.73%,500,"14,751","64,838",5.13,"468,260",-225.25,-2.46,
166,솔루스첨단소재,"47,800",250,-0.52%,100,"14,622","30,590",5.63,"243,405",-171.33,-5.10,
167,대웅제약,"125,500","2,000",-1.57%,"2,500","14,541","11,587",4.61,"41,750",113.99,2.38,
168,LG생활건강우,"688,000","5,000",-0.72%,"5,000","14,446","2,100",83.86,"4,230",15.28,N/A,
169,KG동부제철,"14,400",200,-1.37%,"5,000","14,401","100,009",0.19,"443,192",21.56,7.18,
170,동국제강,"14,850",50,+0.34%,"5,000","14,172","95,433",25.58,"2,776,785",21.77,3.35,
171,NHN,"72,100",300,+0.42%,500,"14,106","19,565",10.85,"29,991",65.78,1.35,
172,한화투자증권,"6,500","1,500",+30.00%,"5,000","13,946","214,548",4.57,"16,952,652",21.24,5.58,
